station_id,name,lat,lon,address,post_code,last_updated,extract_time
cedf0cdc-e404-46b5-8529-2a003dd42c0d,Entsorgungshof Werkhof,46.916092,7.418571,Muhlernstrasse 101,3098,2024-03-14T23:56,2024-03-15T00:00
420ef7c9-9151-409b-98de-29d66148278e,Steinhölzli,46.93046,7.428167,Kirchstrasse 6a,3097,2024-03-14T23:56,2024-03-15T00:00
51479286-df9b-40e8-8e01-eb4303843552,Kronwiesen,47.403984,8.578718,Kronwiesenstrasse 35,8051,2024-03-14T23:56,2024-03-15T00:00
19eaabf4-8d31-412a-8201-2cafb693ece4,Zehntenhausplatz,47.41883,8.5064745,Wehntalerstrasse 541,8046,2024-03-14T23:56,2024-03-15T00:00
7df3bb8f-ec11-4d24-a2bf-b311870b7711,Kunsthaus,47.37087,8.548045,Heimplatz 1,8001,2024-03-14T23:56,2024-03-15T00:00
05a631a8-ee21-4694-b71b-ceafc5e15ebc,Central,47.375935,8.543447,Limmatquai 138,8001,2024-03-14T23:56,2024-03-15T00:00
3fc3abbb-2add-4430-867a-3e2f5c350d0d,Bleicherweg,47.366905,8.533736,Bleicherweg 33,8002,2024-03-14T23:56,2024-03-15T00:00
c61c50fe-b12e-484f-9955-bfaee010b481,Bellevue,47.366753,8.544935,Bellevueplatz 2,8001,2024-03-14T23:56,2024-03-15T00:00
4bc1c32b-2d64-4286-baee-5970d22a4888,Stauffacher,47.37423,8.528553,Stauffacherstrasse 41,8004,2024-03-14T23:56,2024-03-15T00:00
215b6424-7a05-42ae-ba6d-09134123198e,Escher-Wyss-Platz,47.3899,8.523722,Limmatstrasse 310,8005,2024-03-14T23:56,2024-03-15T00:00
ab400356-68d2-4af1-957e-1a329cdac07f,Unitobler Ost,46.954514,7.4294963,Muesmattstrasse 45,3012,2024-03-14T23:56,2024-03-15T00:00
da11a72e-bb3d-43d7-97eb-8b3e9219faf3,Mittelstrasse Süd,46.95342,7.4328275,Mittelstrasse 5,3012,2024-03-14T23:56,2024-03-15T00:00
0614bcca-6300-4a88-8202-4746f60cb374,Nationalbibliothek,46.941257,7.45071,Helvetiastrasse 21,3005,2024-03-14T23:56,2024-03-15T00:00
839be586-a806-47d9-9ee1-8eabddd3113d,Sattler-Gelateria,46.954735,7.433391,Mittelstrasse 18,3012,2024-03-14T23:56,2024-03-15T00:00
e29bdea2-f7ca-4e15-a7ad-f5e4fa1afc34,Hallerstrasse,46.952454,7.4354215,Hallerstrasse 9,3012,2024-03-14T23:56,2024-03-15T00:00
1b63257d-69e9-4144-9c3b-241657dd013c,Helvetiaplatz,46.944134,7.449692,Helvetiaplatz 1,3005,2024-03-14T23:56,2024-03-15T00:00
3aceb61a-dc5d-48a8-9634-8bc9eca47c99,Gare de Fribourg,46.802605,7.1509924,Avenue de la Gare 1,1700,2024-03-14T23:56,2024-03-15T00:00
299920e8-1903-4387-9ce4-362f9385654d,Fribourg-Gottéron,46.81522,7.155715,Rue de Morat,1700,2024-03-14T23:56,2024-03-15T00:00
f992aefc-0db0-4670-bc8d-2fd24883a5cd,Uni Pérolles,46.793373,7.1584206,Boulevard de Pérolles 95,1700,2024-03-14T23:56,2024-03-15T00:00
c4c7eff7-794a-42b7-86eb-44649089dd06,Schönberg,46.810406,7.1730614,Route de la Heitera 3,1700,2024-03-14T23:56,2024-03-15T00:00
e06d9cd7-ae69-4d00-9347-95c9f09a7f1e,Bourg,46.80666,7.162025,Place de Notre-Dame,1700,2024-03-14T23:56,2024-03-15T00:00
97058a7e-8a0d-48c9-8fab-a95d8f976dfb,Les Dailles,46.7948,7.114034,Route du Bugnon 38,1752,2024-03-14T23:56,2024-03-15T00:00
49207bc7-d62e-4f3b-ab1b-420a4249c84f,Mouline,46.526077,6.579268,Rue de la Mouline,1022,2024-03-14T23:56,2024-03-15T00:00
e55ade56-5add-4c76-9cd8-1534e22e4092,Ouchy,46.506897,6.626253,Place de la Navigation,1006,2024-03-14T23:56,2024-03-15T00:00
7c94289c-59b2-473f-a401-ae35b96d1db9,Colladon,46.51811,6.564945,Route J-D. Colladon,1015,2024-03-14T23:56,2024-03-15T00:00
cdd7f0b3-dbcd-457a-867c-288497f89b72,Casino,46.508488,6.499667,Place du Casino,1110,2024-03-14T23:56,2024-03-15T00:00
1496ee38-7126-4169-a0ed-5151a78918b3,Préverenges,46.517513,6.5261483,Route de Genève,1028,2024-03-14T23:56,2024-03-15T00:00
4bf8edb4-ae3e-49fa-a431-6ec466ede408,Lausanne Gare CFF Nord,46.517296,6.630497,Avenue de la Gare,1003,2024-03-14T23:56,2024-03-15T00:00
5e3d3cb3-5b20-4c83-823d-ae283fa00493,Medtronic,46.50225,6.481108,Route du Molliau 31,1131,2024-03-14T23:56,2024-03-15T00:00
b8c19e70-39ef-49a4-b1e2-f3193d5515ab,Gare de Renens,46.536797,6.5783405,Place de la gare,1020,2024-03-14T23:56,2024-03-15T00:00
6c21dbf9-5692-4cab-a612-e82f4268b86f,EPFL Innovation Park,46.517155,6.561272,Bâtiment G,1015,2024-03-14T23:56,2024-03-15T00:00
687ed91d-3da2-40ef-a6d0-62f2d8efea8e,Dammweg TX Group AG,46.955917,7.4467883,Dammweg 9,3013,2024-03-14T23:56,2024-03-15T00:00
c5b862e8-cd19-4f15-b8b7-69d7cdd6fda7,Fabrikstrasse Uni Bern,46.951973,7.4227467,Fabrikstrasse 2,3012,2024-03-14T23:56,2024-03-15T00:00
