Objectid;Punktname;Rubrik;Kante;Nummer_nach;Id_opendata;V_coord;H_coord
113;Breitenrain;Haltestelle;;"<ul style=""padding-left: 15px;""><li>9 Wabern</li></ul>";8508075;1200840.671;2601214.295
114;Breitenrain;Haltestelle;;"<ul style=""padding-left: 15px;""><li>9 Wankdorf Bahnhof</li></ul>";8508075;1200832.891;2601220.677
115;Breitfeld;Haltestelle;;"<ul style=""padding-left: 15px;""><li>20 Länggasse</li></ul>";8588991;1201262.537;2600994.424
116;Breitfeld;Haltestelle;;"<ul style=""padding-left: 15px;""><li>26 Breitenrain</li></ul>";8588991;1201311.764;2601005.816
117;Breitfeld;Haltestelle;;"<ul style=""padding-left: 15px;""><li>26 Breitenrain</li></ul>";8588991;1201234.78;2601061.874
118;Breitfeld;Haltestelle;;"<ul style=""padding-left: 15px;""><li>20 Wankdorf Bahnhof</li></ul>";8588991;1201283.878;2601077.606
119;Bremgarten;Haltestelle;;"<ul style=""padding-left: 15px;""><li>21 Bern Bahnhof</li><li>21 Bremgarten</li></ul>";8590069;1202689.814;2599134.935
120;Bremgarten Post;Haltestelle;;"<ul style=""padding-left: 15px;""><li>21 Bremgarten</li></ul>";8590067;1202738.922;2599869.212
121;Bremgarten Post;Haltestelle;;"<ul style=""padding-left: 15px;""><li>21 Bern Bahnhof</li></ul>";8590067;1202728.77;2599913.946
122;Bremgarten Schloss;Haltestelle;;"<ul style=""padding-left: 15px;""><li>21 Bremgarten</li><li>33 Bremgarten Seftau</li></ul>";8588550;1202933.099;2600200.117
123;Bremgarten Schloss;Haltestelle;;"<ul style=""padding-left: 15px;""><li>21 Bern Bahnhof</li><li>33 Ittigen Talgut-Zentrum</li></ul>";8588550;1202938.418;2600228.968
124;Bremgartenfriedhof;Haltestelle;;"<ul style=""padding-left: 15px;""><li>100 Aarberg, Post/Bahnhof</li><li>101 Schlossmatt</li></ul>";8507992;1199870.322;2598965.517
125;Bremgartenfriedhof;Haltestelle;;"<ul style=""padding-left: 15px;""><li>100 Bern Bahnhof</li><li>101 Bern Bahnhof</li></ul>";8507992;1199836.528;2598957.724
126;Brückfeld;Haltestelle;;"<ul style=""padding-left: 15px;""><li>11 Bern Bahnhof</li></ul>";8590030;1201053.875;2599668.064
127;Brückfeld;Haltestelle;;"<ul style=""padding-left: 15px;""><li>11 Neufeld P+R</li></ul>";8590030;1201054.926;2599680.161
128;Brüggbühlstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>29 Niederwangen Bahnhof</li></ul>";8593295;1197322.077;2595618.058
129;Brüggbühlstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>29 Wabern Lindenweg</li></ul>";8593295;1197310.078;2595653.055
